,Symbol,Name,MarketCap,mcap
444,CRS,Carpenter Technology Corporation,$1.09B,1090000000
445,CSV,"Carriage Services, Inc.",$332.74M,332740000
446,CARR,Carrier Global Corporation,$23.01B,23010000000
447,CARS,Cars.com Inc.,$396.83M,396830000
448,CRI,"Carter&#39;s, Inc.",$3.77B,3770000000
449,CVNA,Carvana Co.,$24.71B,24710000000
450,CSPR,Casper Sleep Inc.,$303.5M,303500000
451,CSLT,"Castlight Health, inc.",$174.93M,174930000
452,CTLT,"Catalent, Inc.",$14.08B,14080000000
453,CTT           ,"CatchMark Timber Trust, Inc.",$474.26M,474260000
454,CAT,"Caterpillar, Inc.",$73.54B,73540000000
455,CATO,Cato Corporation (The),$172.19M,172190000
456,CBZ,"CBIZ, Inc.",$1.28B,1280000000
457,CBL,"CBL & Associates Properties, Inc.",$36.65M,36650000
458,IGR,CBRE Clarion Global Real Estate Income Fund,$678.56M,678560000
459,CBRE,"CBRE Group, Inc.",$14.73B,14730000000
460,PCPL,CC Neuberger Principal Holdings I,$160.87M,160870000
461,FUN,"Cedar Fair, L.P.",$1.57B,1570000000
462,CDR,"Cedar Realty Trust, Inc.",$83.26M,83260000
463,CE,Celanese Corporation,$11.07B,11070000000
464,CLS,"Celestica, Inc.",$926.6M,926600000
465,CEL,"Cellcom Israel, Ltd.",$584.97M,584970000
466,CPAC,Cementos Pacasmayo S.A.A.,$714.94M,714940000
467,CX,Cemex S.A.B. de C.V.,$4.28B,4280000000
468,CVE,Cenovus Energy Inc,$6.06B,6060000000
469,CNC,Centene Corporation,$38.15B,38150000000
470,CEN,Center Coast Brookfield MLP & Energy Infrastructur,$446.34M,446340000
471,CNP,"CenterPoint Energy, Inc.",$9.75B,9750000000
472,EBR,Centrais Electricas Brasileiras S.A.- Eletrobras,$11.44B,11440000000
473,CEPU,Central Puerto S.A.,$416.36M,416360000
474,CCS,"Century Communities, Inc.",$1.15B,1150000000
475,CTL,"CenturyLink, Inc.",$10.68B,10680000000
476,CDAY,Ceridian HCM Holding Inc.,$11.68B,11680000000
477,CF,"CF Industries Holdings, Inc.",$6.37B,6370000000
478,GIB,CGI Inc.,$16.91B,16910000000
479,CHX,ChampionX Corporation,$1.91B,1910000000
480,ECOM          ,ChannelAdvisor Corporation,$430.87M,430870000
481,CHAP,"Chaparral Energy, Inc.",$24.8M,24800000
482,CHRA,"Charah Solutions, Inc.",$77.71M,77710000
483,CRL,"Charles River Laboratories International, Inc.",$9.8B,9800000000
484,CLDT,Chatham Lodging Trust (REIT),$267.69M,267690000
485,CMCM,Cheetah Mobile Inc.,$342.7M,342700000
486,CHGG,"Chegg, Inc.",$9.47B,9470000000
487,CHE,Chemed Corp.,$7.65B,7650000000
488,CC,Chemours Company (The),$2.74B,2740000000
489,CHMI,Cherry Hill Mortgage Investment Corporation,$157.41M,157410000
490,CPK,Chesapeake Utilities Corporation,$1.39B,1390000000
491,CVX,Chevron Corporation,$170.62B,170620000000
492,CHWY,"Chewy, Inc.",$19.6B,19600000000
493,CHS,"Chico&#39;s FAS, Inc.",$170.98M,170980000
494,CIM,Chimera Investment Corporation,$1.75B,1750000000
495,DL,China Distance Education Holdings Limited,$304.13M,304130000
496,CEA,China Eastern Airlines Corporation Ltd.,$6.01B,6010000000
497,CHN,"China Fund, Inc. (The)",$265.18M,265180000
498,CGA,"China Green Agriculture, Inc.",$17.53M,17530000
499,LFC,China Life Insurance Company Limited,$70.77B,70770000000
500,CHL,China Mobile (Hong Kong) Ltd.,$143.21B,143210000000
501,COE,China Online Education Group,$531.33M,531330000
502,SNP,China Petroleum & Chemical Corporation,$52.17B,52170000000
503,ZNH,China Southern Airlines Company Limited,$7.14B,7140000000
504,CHA,China Telecom Corp Ltd,$23.62B,23620000000
505,CHU,China Unicom (Hong Kong) Ltd,$17.69B,17690000000
506,CYD,China Yuchai International Limited,$558.12M,558120000
507,CMG,"Chipotle Mexican Grill, Inc.",$32.44B,32440000000
508,CHH,"Choice Hotels International, Inc.",$4.75B,4750000000
509,CB,Chubb Limited,$61.18B,61180000000
510,CHT,"Chunghwa Telecom Co., Ltd.",$28.66B,28660000000
511,CHD,"Church & Dwight Company, Inc.",$20.78B,20780000000
512,CCX,Churchill Capital Corp II,$996.19M,996190000
513,CCXX,Churchill Capital Corp III,$1.57B,1570000000
514,CIEN,Ciena Corporation,$8.38B,8380000000
515,CI,Cigna Corporation,$65.79B,65790000000
516,XEC,Cimarex Energy Co,$2.78B,2780000000
517,CBB,Cincinnati Bell Inc,$755.87M,755870000
518,CNK,Cinemark Holdings Inc,$1.51B,1510000000
519,CINR,Ciner Resources LP,$222.58M,222580000
520,CIR,"CIRCOR International, Inc.",$565.07M,565070000
521,CIT,CIT Group Inc (DEL),$1.85B,1850000000
522,CCAC,CITIC Capital Acquisition Corp.,$343.62M,343620000
523,BLW,Citigroup Inc.,$511.25M,511250000
524,C,Citigroup Inc.,$104.44B,104440000000
525,CFG,"Citizens Financial Group, Inc.",$10.9B,10900000000
526,CIA,"Citizens, Inc.",$318.2M,318200000
527,CIO,"City Office REIT, Inc.",$451.74M,451740000
528,CVEO,Civeo Corporation,$91.12M,91120000
529,CCC,Clarivate Plc,$9.06B,9060000000
530,CLH,"Clean Harbors, Inc.",$3.32B,3320000000
531,CCO,"Clear Channel Outdoor Holdings, Inc.",$432.3M,432300000
532,EMO,ClearBridge Energy Midstream Opportunity Fund Inc.,$164.94M,164940000
533,CEM,ClearBridge MLP and Midstream Fund Inc.,$212.65M,212650000
534,CTR,ClearBridge MLP and Midstream Total Return Fund In,$99.07M,99070000
535,CLW,Clearwater Paper Corporation,$622.9M,622900000
536,CWEN,"Clearway Energy, Inc.",$4.77B,4770000000
537,CLF,Cleveland-Cliffs Inc.,$2.35B,2350000000
538,CLPR,Clipper Realty Inc.,$123.46M,123460000
539,CLX,Clorox Company (The),$28.55B,28550000000
540,CLDR,"Cloudera, Inc.",$3.41B,3410000000
541,NET,"Cloudflare, Inc.",$11.59B,11590000000
542,CMS,CMS Energy Corporation,$17.79B,17790000000
543,CNA,CNA Financial Corporation,$9.16B,9160000000
544,CNF,CNFinance Holdings Limited,$248.9M,248900000
545,CNHI,CNH Industrial N.V.,$10.01B,10010000000
546,CNO,"CNO Financial Group, Inc.",$2.25B,2250000000
547,CEO,CNOOC Limited,$50.15B,50150000000
548,CNXM,CNX Midstream Partners LP,$621.41M,621410000
549,CNX,CNX Resources Corporation,$1.67B,1670000000
550,KOF,Coca Cola Femsa S.A.B. de C.V.,$69.8B,69800000000
551,KO,Coca-Cola Company (The),$202.72B,202720000000
552,CCEP,Coca-Cola European Partners plc,$17.91B,17910000000
553,CDE,"Coeur Mining, Inc.",$1.79B,1790000000
554,FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc.",$292.16M,292160000
555,CNS,Cohen & Steers Inc,$3.26B,3260000000
556,UTF,"Cohen & Steers Infrastructure Fund, Inc",$2.17B,2170000000
557,LDP,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc",$655.88M,655880000
558,MIE,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.",$55.89M,55890000
559,RQI,Cohen & Steers Quality Income Realty Fund Inc.,$1.41B,1410000000
560,RNP,"Cohen & Steers REIT and Preferred and Income Fund,",$905.49M,905490000
561,PSF,"Cohen & Steers Select Preferred and Income Fund, Inc.",$295.02M,295020000
562,RFI,"Cohen & Steers Total Return Realty Fund, Inc.",$313.15M,313150000
563,CFX,Colfax Corporation,$3.71B,3710000000
564,CL,Colgate-Palmolive Company,$63.42B,63420000000
565,CCH,Collier Creek Holdings,$771.08M,771080000
566,CXE,Colonial High Income Municipal Trust,$157.28M,157280000
567,CIF,Colonial Intermediate High Income Fund,$43.63M,43630000
568,CXH,Colonial Investment Grade Municipal Trust,$88.19M,88190000
569,CMU,Colonial Municipal Income Trust,$121.23M,121230000
570,CLNY,"Colony Capital, Inc.",$896.4M,896400000
571,CLNC,"Colony Credit Real Estate, Inc.",$851.88M,851880000
572,CXP,"Columbia Property Trust, Inc.",$1.37B,1370000000
573,STK,"Columbia Seligman Premium Technology Growth Fund, Inc",$369.66M,369660000
574,CMA,Comerica Incorporated,$5.18B,5180000000
575,FIX,"Comfort Systems USA, Inc.",$1.52B,1520000000
576,CMC,Commercial Metals Company,$2.42B,2420000000
577,CBU,"Community Bank System, Inc.",$3.08B,3080000000
578,CYH,"Community Health Systems, Inc.",$448.74M,448740000
579,CHCT,Community Healthcare Trust Incorporated,$949.72M,949720000
580,CIG,Comp En De Mn Cemig ADS,$3.27B,3270000000
581,CBD,Companhia Brasileira de Distribuicao,$3.92B,3920000000
582,SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,$8.07B,8070000000
583,ELP,Companhia Paranaense de Energia (COPEL),$3.26B,3260000000
584,CCU,"Compania Cervecerias Unidas, S.A.",$2.74B,2740000000
585,CODI,Compass Diversified Holdings,$1.08B,1080000000
586,CMP,"Compass Minerals International, Inc.",$1.74B,1740000000
587,CRK,"Comstock Resources, Inc.",$1.18B,1180000000
588,CAG,"ConAgra Brands, Inc.",$17.7B,17700000000
589,CXO,Concho Resources Inc.,$10.71B,10710000000
590,CCM,Concord Medical Services Holdings Limited,$72.07M,72070000
591,CNMD,CONMED Corporation,$2.29B,2290000000
592,COP,ConocoPhillips,$44.68B,44680000000
593,CCR,CONSOL Coal Resources LP,$104.39M,104390000
594,CEIX,CONSOL Energy Inc.,$145.24M,145240000
595,ED,Consolidated Edison Inc,$24.82B,24820000000
596,STZ,Constellation Brands Inc,$34.89B,34890000000
597,CSTM,Constellium SE,$1.28B,1280000000
598,TCS,Container Store (The),$213.54M,213540000
599,CLR,"Continental Resources, Inc.",$6.57B,6570000000
600,VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",$533.26M,533260000
601,CTRA,"Contura Energy, Inc.",$60.2M,60200000
602,CTB,Cooper Tire & Rubber Company,$1.54B,1540000000
603,CPS,Cooper-Standard Holdings Inc.,$204.13M,204130000
604,CTK,CooTek (Cayman) Inc.,$430.8M,430800000
605,CPA,"Copa Holdings, S.A.",$2.03B,2030000000
606,CLB,Core Laboratories N.V.,$992.27M,992270000
607,CXW,"CoreCivic, Inc.",$1.1B,1100000000
608,CLGX,"CoreLogic, Inc.",$5.4B,5400000000
609,CORR,"CorEnergy Infrastructure Trust, Inc.",$116.45M,116450000
610,CPLG,CorePoint Lodging Inc.,$294.27M,294270000
611,COR,CoreSite Realty Corporation,$4.62B,4620000000
612,CNR,"Cornerstone Building Brands, Inc.",$705.19M,705190000
613,GLW,Corning Incorporated,$22.3B,22300000000
614,CAAP,Corporacion America Airports SA,$406.46M,406460000
615,OFC,Corporate Office Properties Trust,$2.83B,2830000000
616,CTVA,"Corteva, Inc.",$21.22B,21220000000
617,CZZ,Cosan Limited,$4.08B,4080000000
618,CMRE,Costamare Inc.,$568.48M,568480000
619,COTY,Coty Inc.,$3.14B,3140000000
620,CUZ,Cousins Properties Incorporated,$4.3B,4300000000
621,CVA,Covanta Holding Corporation,$1.27B,1270000000
622,CPF,CPB Inc.,$425.67M,425670000
623,CR,Crane Co.,$3.48B,3480000000
624,BAP,Credicorp Ltd.,$10.21B,10210000000
625,CS,Credit Suisse Group,$25.81B,25810000000
626,CPG,Crescent Point Energy Corporation,$920.39M,920390000
627,CEQP,Crestwood Equity Partners LP,$1.1B,1100000000
628,CRH,CRH PLC,$30.39B,30390000000
629,CRT,Cross Timbers Royalty Trust,$38.52M,38520000
630,CAPL,CrossAmerica Partners LP,$511.57M,511570000
631,CCI,Crown Castle International Corporation,$69.82B,69820000000
632,CCK,"Crown Holdings, Inc.",$9.52B,9520000000
633,CRY,"CryoLife, Inc.",$713.29M,713290000
634,CTS,CTS Corporation,$640.04M,640040000
635,CUBE,CubeSmart,$5.36B,5360000000
636,CUB,Cubic Corporation,$1.37B,1370000000
637,CFR,"Cullen/Frost Bankers, Inc.",$4.57B,4570000000
638,CULP,"Culp, Inc.",$119.78M,119780000
639,CMI,Cummins Inc.,$27.47B,27470000000
640,CURO,CURO Group Holdings Corp.,$301.43M,301430000
641,CW,Curtiss-Wright Corporation,$3.79B,3790000000
642,SRV,Cushing MLP & Infrastructure Total Return Fund,$30.69M,30690000
643,SZC,Cushing NextGen Infrastructure Income Fund,$82.37M,82370000
644,CWK,Cushman & Wakefield plc,$2.49B,2490000000
645,CUBI,"Customers Bancorp, Inc",$353.96M,353960000
646,CVI,CVR Energy Inc.,$2.03B,2030000000
647,UAN,"CVR Partners, LP",$100.94M,100940000
648,CVS,CVS Health Corporation,$84.33B,84330000000
649,CELP,"Cypress Environmental Partners, L.P. ",$48.96M,48960000
650,DHI,"D.R. Horton, Inc.",$22.8B,22800000000
651,DAN,Dana Incorporated,$1.82B,1820000000
652,DHR,Danaher Corporation,$137.87B,137870000000
653,DAC,Danaos Corporation,$84.53M,84530000
654,DQ,DAQO New Energy Corp.,$1.48B,1480000000
655,DRI,"Darden Restaurants, Inc.",$9.8B,9800000000
656,DAR,Darling Ingredients Inc.,$4.48B,4480000000
657,DVA,DaVita Inc.,$10.47B,10470000000
658,DCP,DCP Midstream LP,$2.8B,2800000000
659,DECK,Deckers Outdoor Corporation,$5.64B,5640000000
660,DE,Deere & Company,$54.95B,54950000000
661,DEX,Delaware Enhanced Global Dividend,$101.94M,101940000
662,DDF,"Delaware Investments Dividend & Income Fund, Inc.",$64.5M,64500000
663,DKL,"Delek Logistics Partners, L.P.",$758.59M,758590000
664,DK,"Delek US Holdings, Inc.",$1.37B,1370000000
665,DELL,Dell Technologies Inc.,$45.23B,45230000000
666,DLPH,Delphi Technologies PLC,$1.37B,1370000000
667,DAL,"Delta Air Lines, Inc.",$16.86B,16860000000
668,DLX,Deluxe Corporation,$889.76M,889760000
669,DNR,Denbury Resources Inc.,$129.05M,129050000
670,DBI,Designer Brands Inc.,$457.16M,457160000
671,DESP,"Despegar.com, Corp.",$571.81M,571810000
672,DB,Deutsche Bank AG,$20.11B,20110000000
673,DVN,Devon Energy Corporation,$4.34B,4340000000
674,DHX,"DHI Group, Inc.",$136.46M,136460000
675,DHT,"DHT Holdings, Inc.",$787.23M,787230000
676,DEO,Diageo plc,$83.75B,83750000000
677,DSSI,Diamond S Shipping Inc.,$332.5M,332500000
678,DRH,Diamondrock Hospitality Company,$1.02B,1020000000
679,DSX,Diana Shipping inc.,$126.77M,126770000
680,DKS,Dick&#39;s Sporting Goods Inc,$3.84B,3840000000
681,DBD,Diebold Nixdorf Incorporated,$493.03M,493030000
682,DLR,"Digital Realty Trust, Inc.",$38.45B,38450000000
683,DDS,"Dillard&#39;s, Inc.",$589.81M,589810000
684,DIN,"Dine Brands Global, Inc.",$658.22M,658220000
685,DFS,Discover Financial Services,$15.01B,15010000000
686,DNI,Dividend and Income Fund,$135.83M,135830000
687,DMYT,"dMY Technology Group, Inc.",$307.63M,307630000
688,DLB,Dolby Laboratories,$6.76B,6760000000
689,DG,Dollar General Corporation,$48.3B,48300000000
690,D,"Dominion Energy, Inc.",$65.64B,65640000000
691,DPZ,Domino&#39;s Pizza Inc,$15.26B,15260000000
692,UFS,Domtar Corporation,$1.24B,1240000000
693,DCI,"Donaldson Company, Inc.",$6.04B,6040000000
694,DFIN,"Donnelley Financial Solutions, Inc.",$291.79M,291790000
695,LPG,Dorian LPG Ltd.,$396.46M,396460000
696,DSL,DoubleLine Income Solutions Fund,$1.57B,1570000000
697,DBL,DoubleLine Opportunistic Credit Fund,$281.25M,281250000
698,PLOW,"Douglas Dynamics, Inc.",$825.15M,825150000
699,DEI,"Douglas Emmett, Inc.",$5.08B,5080000000
700,DOV,Dover Corporation,$14.9B,14900000000
701,DVD,"Dover Motorsports, Inc.",$54.62M,54620000
702,DOW,Dow Inc.,$31.88B,31880000000
703,RDY,Dr. Reddy&#39;s Laboratories Ltd,$9.07B,9070000000
704,DRD,DRDGOLD Limited,$1.39B,1390000000
705,DRQ,"Dril-Quip, Inc.",$1.21B,1210000000
706,DS,Drive Shack Inc.,$115.36M,115360000
707,DTE,DTE Energy Company,$21.4B,21400000000
708,DCO,Ducommun Incorporated,$396.17M,396170000
709,DSE,Duff & Phelps Select MLP and Midstream Energy Fund,$14.15M,14150000
710,DNP,"Duff & Phelps Utilities Income, Inc.",$3.31B,3310000000
711,DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",$121.85M,121850000
712,DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",$256.53M,256530000
713,DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,$449.47M,449470000
714,DUK,Duke Energy Corporation,$60.5B,60500000000
715,DRE,Duke Realty Corporation,$13.41B,13410000000
716,DNB,"Dun & Bradstreet Holdings, Inc.",$10.56B,10560000000
717,DD,"DuPont de Nemours, Inc.",$39.57B,39570000000
718,DXC,DXC Technology Company,$4.34B,4340000000
719,DY,"Dycom Industries, Inc.",$1.35B,1350000000
720,DLNG,Dynagas LNG Partners LP,$110.37M,110370000
721,DT,"Dynatrace, Inc.",$12.09B,12090000000
722,DX,"Dynex Capital, Inc.",$352.31M,352310000
723,ELF,"e.l.f. Beauty, Inc.",$939.67M,939670000
724,EGIF,Eagle Growth and Income Opportunities Fund,$87.85M,87850000
725,EXP,Eagle Materials Inc,$3.25B,3250000000
726,ECC           ,Eagle Point Credit Company Inc.,$219.14M,219140000
727,ESTE,"Earthstone Energy, Inc.",$212.92M,212920000
728,DEA,"Easterly Government Properties, Inc.",$1.71B,1710000000
729,EGP,"EastGroup Properties, Inc.",$4.68B,4680000000
730,EMN,Eastman Chemical Company,$10.36B,10360000000
731,KODK,Eastman Kodak Company,$96.21M,96210000
732,ETN,"Eaton Corporation, PLC",$37.42B,37420000000
733,ETV,Eaton Vance Corporation,$1.29B,1290000000
734,ETW,Eaton Vance Corporation,$952.33M,952330000
735,EV,Eaton Vance Corporation,$4.36B,4360000000
736,EOI,Eaton Vance Enhance Equity Income Fund,$605.59M,605590000
737,EOS,Eaton Vance Enhanced Equity Income Fund II,$903.01M,903010000
738,EFT,Eaton Vance Floating Rate Income Trust,$463.22M,463220000
739,EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,$198.85M,198850000
740,EFF,Eaton vance Floating-Rate Income Plus Fund,$106.79M,106790000
741,EHT,Eaton Vance High Income 2021 Target Term Trust,$203.7M,203700000
742,ETX           ,Eaton Vance Municipal Income 2028 Term Trust,$229.41M,229410000
743,EOT,Eaton Vance Municipal Income Trust,$304.43M,304430000
744,EVN,Eaton Vance Municipal Income Trust,$504.17M,504170000
745,ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,$636.1M,636100000
746,EFR,Eaton Vance Senior Floating-Rate Fund,$420.44M,420440000
747,EVF,Eaton Vance Senior Income Trust,$205.62M,205620000
748,EVG,Eaton Vance Short Diversified Income Fund,$200.98M,200980000
749,EVT,Eaton Vance Tax Advantaged Dividend Income Fund,$1.47B,1470000000
750,ETO,Eaton Vance Tax-Advantage Global Dividend Opp,$337.77M,337770000
751,ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,$1.14B,1140000000
752,ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,$378.78M,378780000
753,EXD,Eaton Vance Tax-Managed Buy-Write Strategy Fund,$89.53M,89530000
754,ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,$1.67B,1670000000
755,EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,$2.3B,2300000000
756,ECT,ECA Marcellus Trust I,$7.34M,7340000
757,ECL,Ecolab Inc.,$59.02B,59020000000
758,EC,Ecopetrol S.A.,$25.45B,25450000000
759,EPC,Edgewell Personal Care,$1.64B,1640000000
760,EIX,Edison International,$21.15B,21150000000
761,EW,Edwards Lifesciences Corporation,$144.89B,144890000000
762,EE,El Paso Electric Company,$2.74B,2740000000
763,ELAN,Elanco Animal Health Incorporated,$9.45B,9450000000
764,ESTC,Elastic N.V.,$7.82B,7820000000
765,EGO,Eldorado Gold Corporation,$1.98B,1980000000
766,ESI,Element Solutions Inc.,$2.75B,2750000000
767,ELVT,"Elevate Credit, Inc.",$73.7M,73700000
768,LLY,Eli Lilly and Company,$158.1B,158100000000
769,EFC,Ellington Financial Inc.,$529.3M,529300000
770,EARN,Ellington Residential Mortgage REIT,$132.31M,132310000
771,ERJ,Embraer S.A.,$1.2B,1200000000
772,EME,"EMCOR Group, Inc.",$3.47B,3470000000
773,EEX,"Emerald Holding, Inc.",$196.48M,196480000
774,EBS,"Emergent Biosolutions, Inc.",$4.94B,4940000000
775,EMR,Emerson Electric Company,$38.11B,38110000000
776,ESRT,"Empire State Realty Trust, Inc.",$2B,2000000000
777,EIG,Employers Holdings Inc,$988.36M,988360000
778,EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),$182.89M,182890000
779,ENBL,"Enable Midstream Partners, LP",$2.07B,2070000000
780,ENB,Enbridge Inc,$62.7B,62700000000
781,EHC,Encompass Health Corporation,$6.51B,6510000000
782,DAVA,Endava plc,$2.99B,2990000000
783,EXK,Endeavour Silver Corporation,$529.32M,529320000
784,ENIA,Enel Americas S.A.,$11.33B,11330000000
785,ENIC,Enel Chile S.A.,$5.33B,5330000000
786,ENR,"Energizer Holdings, Inc.",$3.35B,3350000000
787,ET,Energy Transfer L.P.,$18.16B,18160000000
788,EPAC,Enerpac Tool Group Corp.,$1.12B,1120000000
789,ERF,Enerplus Corporation,$605.37M,605370000
790,ENS,Enersys,$2.83B,2830000000
791,E,ENI S.p.A.,$36.14B,36140000000
792,ENLC,"EnLink Midstream, LLC",$1.29B,1290000000
793,EBF,"Ennis, Inc.",$439.07M,439070000
794,ENVA,"Enova International, Inc.",$423.85M,423850000
795,NPO,EnPro Industries,$985.15M,985150000
796,ETM,Entercom Communications Corp.,$197.4M,197400000
797,ETR,Entergy Corporation,$19.93B,19930000000
798,EPD,Enterprise Products Partners L.P.,$40.72B,40720000000
799,EVC,Entravision Communications Corporation,$126.98M,126980000
800,ENV,"Envestnet, Inc",$4.33B,4330000000
801,NVST,Envista Holdings Corporation,$3.42B,3420000000
802,EVA,"Enviva Partners, LP",$1.55B,1550000000
803,ENZ,"Enzo Biochem, Inc.",$131.7M,131700000
804,EOG,"EOG Resources, Inc.",$29.35B,29350000000
805,EPAM,"EPAM Systems, Inc.",$15.5B,15500000000
806,EPR,EPR Properties,$2.42B,2420000000
807,EQT,EQT Corporation,$3.41B,3410000000
808,EFX,"Equifax, Inc.",$20.19B,20190000000
809,EQNR,Equinor ASA,$50.98B,50980000000
810,EQH,"Equitable Holdings, Inc.",$9.08B,9080000000
811,ETRN,Equitrans Midstream Corporation,$4.26B,4260000000
812,EQC,Equity Commonwealth,$3.82B,3820000000
813,ELS,"Equity Lifestyle Properties, Inc.",$11.41B,11410000000
814,EQR,Equity Residential,$20.31B,20310000000
815,EQS,"Equus Total Return, Inc.",$18.25M,18250000
816,EROS,Eros International PLC,$577.49M,577490000
817,ESE,ESCO Technologies Inc.,$2.25B,2250000000
818,ESNT,Essent Group Ltd.,$3.99B,3990000000
819,EPRT,"Essential Properties Realty Trust, Inc.",$1.36B,1360000000
820,WTRG,"Essential Utilities, Inc.",$10.95B,10950000000
821,ESS,"Essex Property Trust, Inc.",$14.11B,14110000000
822,EL,"Estee Lauder Companies, Inc. (The)",$70.01B,70010000000
823,ETH,Ethan Allen Interiors Inc.,$307.4M,307400000
824,EURN,Euronav NV,$1.98B,1980000000
825,EEA,"European Equity Fund, Inc. (The)",$68.98M,68980000
826,EB,"Eventbrite, Inc.",$777.32M,777320000
827,EVR,Evercore Inc.,$2.41B,2410000000
828,RE,"Everest Re Group, Ltd.",$8.82B,8820000000
829,EVRG,"Evergy, Inc.",$14.28B,14280000000
830,EVRI,Everi Holdings Inc.,$493.16M,493160000
831,ES,Eversource Energy,$29.86B,29860000000
832,EVTC,"Evertec, Inc.",$2.1B,2100000000
833,EVH,"Evolent Health, Inc",$877.84M,877840000
834,AQUA,Evoqua Water Technologies Corp.,$2.31B,2310000000
835,XAN,Exantas Capital Corp.,$76.26M,76260000
836,EXPR,"Express, Inc.",$84.44M,84440000
837,EXTN,Exterran Corporation,$168.4M,168400000
838,EXR,Extra Space Storage Inc,$12.49B,12490000000
839,XOM,Exxon Mobil Corporation,$188.89B,188890000000
840,FNB,F.N.B. Corporation,$2.47B,2470000000
841,FN,Fabrinet,$2.47B,2470000000
842,FDS,FactSet Research Systems Inc.,$13.48B,13480000000
843,FICO,Fair Isaac Corporation,$12.09B,12090000000
844,SFUN,Fang Holdings Limited,$109.48M,109480000
845,FPAC,Far Point Acquisition Corporation,$811.97M,811970000
846,FTCH,Farfetch Limited,$7.55B,7550000000
847,FPI,Farmland Partners Inc.,$256.97M,256970000
848,FSLY,"Fastly, Inc.",$8.56B,8560000000
849,FBK,FB Financial Corporation,$821.94M,821940000
850,FFG,"FBL Financial Group, Inc.",$891.55M,891550000
851,AGM,Federal Agricultural Mortgage Corporation,$659.61M,659610000
852,FRT,Federal Realty Investment Trust,$5.63B,5630000000
853,FSS,Federal Signal Corporation,$1.81B,1810000000
854,FMN,Federated Hermes Premier Municipal Income Fund,$159.35M,159350000
855,FHI,"Federated Hermes, Inc.",$2.37B,2370000000
856,FDX,FedEx Corporation,$43.24B,43240000000
857,RACE,Ferrari N.V.,$44.87B,44870000000
858,FOE,Ferro Corporation,$988.56M,988560000
859,FCAU,Fiat Chrysler Automobiles N.V.,$21.23B,21230000000
860,FNF,"Fidelity National Financial, Inc.",$9.53B,9530000000
861,FIS,"Fidelity National Information Services, Inc.",$88.6B,88600000000
862,FMO,Fiduciary/Claymore Energy Infrastructure Fund,$64.86M,64860000
863,FINV,FinVolution Group,$684.87M,684870000
864,FAF,First American Corporation (The),$6B,6000000000
865,FBP,First BanCorp.,$1.23B,1230000000
866,FCF,First Commonwealth Financial Corporation,$797.84M,797840000
867,FSLF,First Eagle Senior Loan Fund,$89.25M,89250000
868,FHN,First Horizon National Corporation,$5.25B,5250000000
869,FR,"First Industrial Realty Trust, Inc.",$5B,5000000000
870,AG,First Majestic Silver Corp.,$2.6B,2600000000
871,FRC,FIRST REPUBLIC BANK,$19.53B,19530000000
872,FFA,First Trust,$300.34M,300340000
873,FMY,First Trust,$57.49M,57490000
874,FDEU,First Trust Dynamic Europe Equity Income Fund,$183.86M,183860000
875,FIF,First Trust Energy Infrastructure Fund,$183.22M,183220000
876,FSD,First Trust High Income Long Short Fund,$461.38M,461380000
877,FPF,First Trust Intermediate Duration Preferred & Income Fund,$1.28B,1280000000
878,FEI           ,First Trust MLP and Energy Income Fund,$259.01M,259010000
879,FPL,First Trust New Opportunities MLP & Energy Fund,$107.75M,107750000
880,FIV,First Trust Senior Floating Rate 2022 Target Term Fund,$298.84M,298840000
881,FCT,First Trust Senior Floating Rate Income Fund II,$288.06M,288060000
882,FGB,First Trust Specialty Finance and Financial Opportunities Fund,$44.09M,44090000
883,FEO,First Trust/Aberdeen Emerging Opportunity Fund,$61.69M,61690000
884,FAM,First Trust/Aberdeen Global Opportunity Income Fund,$127.71M,127710000
885,FE,FirstEnergy Corp.,$18.56B,18560000000
886,FIT,"Fitbit, Inc.",$1.81B,1810000000
887,FPH,"Five Point Holdings, LLC",$682.24M,682240000
888,FVRR,Fiverr International Ltd.,$2.97B,2970000000
889,FBC,"Flagstar Bancorp, Inc.",$1.65B,1650000000
890,DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,$482.28M,482280000
891,PFD,Flaherty & Crumrine Preferred and Income Fund Inco,$168.24M,168240000
892,PFO,Flaherty & Crumrine Preferred and Income Opportuni,$144.07M,144070000
893,FFC,Flaherty & Crumrine Preferred and Income Securitie,$929.56M,929560000
